STATE,Lower box percent of patients-nephrologists' communication and caring,Middle box percent of patients-nephrologists' communication and caring,Top box percent of patients-nephrologists' communication and caring,Linearized score of nephrologists' communication and caring,Lower box percent of patients-quality of dialysis center care and operations,Middle box percent of patients-quality of dialysis center care and operations,Top box percent of patients-quality of dialysis center care and operations,Linearized score of quality of dialysis center care and operations,Lower box percent of patients-providing information to patients,Top box percent of patients- providing information to patients,Linearized score of providing information to patients,Lower box percent of patients-rating of the nephrologist,Middle box percent of patients- rating of the nephrologist,Top box percent of patients- rating of the nephrologist,Linearized score of rating of the nephrologist,Lower box percent of patients-rating of the dialysis center staff,Middle box percent of patients-rating of the dialysis center staff,Top box percent of patients-rating of the dialysis center staff,Linearized score of rating of the dialysis center staff,Lower box percent of patients-rating of the dialysis facility,Middle box percent of patients-rating of the dialysis facility,Top box percent of patients-rating of the dialysis facility,Linearized score of rating of the dialysis facility,Total number of completed interviews from the Fall and Spring Surveys,Survey response rate
FL,18.0,14.0,68.0,81.0,16.0,18.0,66.0,82.0,21.0,79.0,79.0,13.0,26.0,61.0,85.0,10.0,23.0,67.0,87.0,10.0,19.0,71.0,88.0,11378.0,23.0
GA,19.0,14.0,67.0,80.0,20.0,18.0,62.0,79.0,23.0,77.0,77.0,14.0,27.0,59.0,84.0,13.0,26.0,61.0,85.0,13.0,22.0,65.0,86.0,7289.0,22.0
GU,42.0,18.0,40.0,61.0,21.0,19.0,60.0,78.0,30.0,70.0,70.0,35.0,35.0,30.0,70.0,15.0,26.0,59.0,84.0,15.0,23.0,62.0,86.0,252.0,20.0
HI,18.0,14.0,68.0,81.0,15.0,17.0,68.0,83.0,20.0,80.0,80.0,14.0,25.0,61.0,85.0,8.0,20.0,72.0,89.0,7.0,17.0,76.0,91.0,2054.0,32.0
IA,16.0,17.0,67.0,82.0,15.0,20.0,65.0,82.0,18.0,82.0,82.0,13.0,27.0,60.0,85.0,9.0,22.0,69.0,88.0,10.0,16.0,74.0,89.0,1172.0,29.0
ID,15.0,14.0,71.0,84.0,14.0,19.0,67.0,83.0,19.0,81.0,81.0,11.0,22.0,67.0,87.0,7.0,22.0,71.0,89.0,8.0,15.0,77.0,90.0,555.0,28.0
IL,19.0,15.0,66.0,80.0,16.0,18.0,66.0,82.0,23.0,77.0,77.0,14.0,27.0,59.0,84.0,10.0,24.0,66.0,87.0,10.0,19.0,71.0,89.0,7191.0,26.0
IN,18.0,17.0,65.0,80.0,17.0,19.0,64.0,81.0,19.0,81.0,81.0,14.0,27.0,59.0,84.0,12.0,22.0,66.0,86.0,12.0,19.0,69.0,87.0,3547.0,26.0
KS,15.0,15.0,70.0,83.0,14.0,18.0,68.0,83.0,16.0,84.0,84.0,11.0,25.0,64.0,86.0,7.0,21.0,72.0,90.0,6.0,18.0,76.0,91.0,1290.0,28.0
KY,17.0,14.0,69.0,82.0,15.0,17.0,68.0,83.0,18.0,82.0,82.0,12.0,27.0,61.0,85.0,8.0,21.0,71.0,89.0,9.0,17.0,74.0,90.0,2025.0,24.0
LA,17.0,12.0,71.0,83.0,17.0,16.0,67.0,81.0,21.0,79.0,79.0,13.0,24.0,63.0,86.0,11.0,24.0,65.0,87.0,11.0,20.0,69.0,88.0,3516.0,23.0
MA,16.0,15.0,69.0,83.0,15.0,17.0,68.0,83.0,21.0,79.0,79.0,11.0,27.0,62.0,86.0,8.0,22.0,70.0,89.0,9.0,18.0,73.0,90.0,2407.0,24.0
MD,19.0,15.0,66.0,80.0,19.0,20.0,61.0,79.0,24.0,76.0,76.0,14.0,30.0,56.0,83.0,13.0,27.0,60.0,85.0,13.0,24.0,63.0,86.0,4106.0,24.0
ME,11.0,15.0,74.0,87.0,10.0,17.0,73.0,87.0,16.0,84.0,84.0,6.0,24.0,70.0,89.0,3.0,15.0,82.0,93.0,4.0,10.0,86.0,94.0,459.0,27.0
MI,18.0,14.0,68.0,81.0,16.0,19.0,65.0,82.0,20.0,80.0,80.0,14.0,25.0,61.0,85.0,10.0,24.0,66.0,87.0,10.0,20.0,70.0,88.0,5509.0,25.0
MN,14.0,14.0,72.0,85.0,14.0,19.0,67.0,83.0,17.0,83.0,83.0,10.0,26.0,64.0,86.0,8.0,23.0,69.0,88.0,8.0,18.0,74.0,90.0,2055.0,28.0
MO,18.0,14.0,68.0,82.0,16.0,19.0,65.0,82.0,20.0,80.0,80.0,14.0,25.0,61.0,84.0,10.0,23.0,67.0,87.0,10.0,19.0,71.0,89.0,2880.0,24.0
MP,33.0,15.0,52.0,71.0,29.0,15.0,56.0,73.0,31.0,69.0,69.0,24.0,40.0,36.0,76.0,19.0,32.0,49.0,80.0,14.0,28.0,58.0,84.0,114.0,36.0
MS,21.0,13.0,66.0,80.0,20.0,17.0,63.0,79.0,23.0,77.0,77.0,16.0,25.0,59.0,83.0,13.0,26.0,61.0,85.0,14.0,20.0,66.0,86.0,2824.0,24.0
MT,11.0,10.0,79.0,89.0,9.0,17.0,74.0,87.0,13.0,87.0,87.0,5.0,18.0,77.0,92.0,3.0,19.0,78.0,93.0,4.0,13.0,83.0,94.0,300.0,25.0
NC,20.0,14.0,66.0,80.0,19.0,19.0,62.0,79.0,21.0,79.0,79.0,14.0,29.0,57.0,84.0,11.0,27.0,62.0,86.0,12.0,21.0,67.0,87.0,7096.0,24.0
ND,16.0,18.0,66.0,81.0,13.0,17.0,70.0,84.0,18.0,82.0,82.0,12.0,27.0,61.0,85.0,7.0,20.0,73.0,90.0,9.0,17.0,74.0,90.0,220.0,20.0
NE,17.0,17.0,66.0,81.0,16.0,21.0,63.0,81.0,19.0,81.0,81.0,13.0,25.0,62.0,85.0,9.0,25.0,66.0,87.0,11.0,18.0,71.0,88.0,616.0,25.0
NH,20.0,18.0,62.0,79.0,12.0,19.0,69.0,84.0,16.0,84.0,84.0,17.0,28.0,55.0,82.0,6.0,22.0,72.0,90.0,7.0,19.0,74.0,90.0,464.0,28.0
NJ,17.0,13.0,70.0,83.0,14.0,18.0,68.0,83.0,19.0,81.0,81.0,12.0,24.0,64.0,86.0,8.0,20.0,72.0,89.0,8.0,16.0,76.0,90.0,4969.0,23.0
NM,20.0,15.0,65.0,79.0,20.0,16.0,64.0,79.0,21.0,79.0,79.0,15.0,27.0,58.0,84.0,12.0,22.0,66.0,86.0,12.0,18.0,70.0,88.0,1209.0,23.0
NV,21.0,15.0,64.0,78.0,16.0,18.0,66.0,82.0,21.0,79.0,79.0,17.0,29.0,54.0,82.0,9.0,24.0,67.0,87.0,10.0,17.0,73.0,88.0,1654.0,22.0
NY,19.0,13.0,68.0,81.0,16.0,18.0,66.0,82.0,22.0,78.0,78.0,14.0,27.0,59.0,84.0,9.0,25.0,66.0,88.0,9.0,22.0,69.0,88.0,10305.0,24.0
OH,18.0,15.0,67.0,81.0,15.0,19.0,66.0,82.0,19.0,81.0,81.0,14.0,26.0,60.0,84.0,9.0,23.0,68.0,88.0,10.0,19.0,71.0,89.0,5502.0,23.0
OK,15.0,14.0,71.0,84.0,16.0,18.0,66.0,82.0,19.0,81.0,81.0,11.0,24.0,65.0,87.0,10.0,21.0,69.0,88.0,10.0,16.0,74.0,89.0,1822.0,22.0
OR,15.0,16.0,69.0,83.0,15.0,20.0,65.0,82.0,18.0,82.0,82.0,12.0,25.0,63.0,86.0,8.0,23.0,69.0,88.0,10.0,17.0,73.0,89.0,1716.0,26.0
PA,17.0,16.0,67.0,81.0,15.0,18.0,67.0,82.0,19.0,81.0,81.0,14.0,27.0,59.0,84.0,9.0,22.0,69.0,88.0,9.0,18.0,73.0,89.0,6957.0,26.0
PR,15.0,15.0,70.0,84.0,15.0,18.0,67.0,82.0,13.0,87.0,87.0,13.0,19.0,68.0,87.0,10.0,18.0,72.0,89.0,10.0,14.0,76.0,90.0,3390.0,33.0
RI,15.0,13.0,72.0,84.0,13.0,16.0,71.0,85.0,18.0,82.0,82.0,10.0,26.0,64.0,87.0,4.0,20.0,76.0,91.0,7.0,18.0,75.0,91.0,474.0,25.0
SC,20.0,14.0,66.0,80.0,19.0,18.0,63.0,80.0,21.0,79.0,79.0,14.0,26.0,60.0,84.0,11.0,26.0,63.0,86.0,12.0,21.0,67.0,87.0,3742.0,24.0
SD,13.0,15.0,72.0,85.0,13.0,18.0,69.0,84.0,17.0,83.0,83.0,12.0,22.0,66.0,87.0,9.0,15.0,76.0,89.0,7.0,11.0,82.0,93.0,246.0,17.0
TN,19.0,14.0,67.0,80.0,17.0,17.0,66.0,82.0,19.0,81.0,81.0,14.0,27.0,59.0,84.0,11.0,23.0,66.0,87.0,11.0,19.0,70.0,88.0,3750.0,24.0
TX,18.0,14.0,68.0,81.0,17.0,18.0,65.0,81.0,20.0,80.0,80.0,13.0,26.0,61.0,85.0,10.0,23.0,67.0,87.0,11.0,18.0,71.0,88.0,20209.0,23.0
UT,19.0,16.0,65.0,80.0,13.0,17.0,70.0,84.0,16.0,84.0,84.0,16.0,25.0,59.0,83.0,5.0,19.0,76.0,91.0,5.0,16.0,79.0,92.0,726.0,22.0
VA,20.0,16.0,64.0,79.0,18.0,19.0,63.0,80.0,21.0,79.0,79.0,16.0,29.0,55.0,82.0,11.0,26.0,63.0,86.0,12.0,20.0,68.0,87.0,5090.0,27.0
VI,,,,,,,,,,,,,,,,,,,,,,,,,
VT,18.0,16.0,66.0,81.0,12.0,14.0,74.0,86.0,19.0,81.0,81.0,17.0,25.0,58.0,83.0,6.0,15.0,79.0,92.0,6.0,12.0,82.0,92.0,141.0,26.0
WA,15.0,13.0,72.0,84.0,15.0,19.0,66.0,82.0,19.0,81.0,81.0,11.0,25.0,64.0,87.0,8.0,23.0,69.0,88.0,9.0,17.0,74.0,89.0,3021.0,25.0
WI,18.0,16.0,66.0,81.0,16.0,19.0,65.0,81.0,18.0,82.0,82.0,14.0,28.0,58.0,84.0,10.0,25.0,65.0,87.0,12.0,18.0,70.0,87.0,2777.0,27.0
WV,17.0,16.0,67.0,81.0,13.0,18.0,69.0,84.0,19.0,81.0,81.0,13.0,26.0,61.0,85.0,8.0,20.0,72.0,89.0,9.0,17.0,74.0,90.0,868.0,26.0
WY,14.0,14.0,72.0,84.0,13.0,16.0,71.0,85.0,18.0,82.0,82.0,12.0,24.0,64.0,87.0,6.0,17.0,77.0,91.0,6.0,12.0,82.0,92.0,129.0,24.0
