State,Survival- Better Than Expected (STATE),Survival- As Expected (STATE),Survival- Worse Than Expected (STATE),Hospitalizations- Better Than Expected (STATE),Hospitalizations- As Expected (STATE),Hospitalizations- Worse Than Expected (STATE),Hospital Readmission - Better Than Expected (STATE),Hospital Readmission - As Expected (STATE),Hospital  Readmission - Worse Than Expected (STATE),Transfusions- Better than expected (STATE),Transfusions- As expected (STATE),Transfusions- Worse than expected (STATE),Infection- Better than expected (STATE),Infection- As expected (STATE),Infection- Worse than expected (STATE),Percentage of adult HD patients with Kt/V>=1.2,Percentage Of Adult PD Patients With Kt/V>=1.7,Percentage Of Pediatric HD Patients With Kt/V>=1.2,Percentage Of Pediatric PD Patients With Kt/V>=1.8,Percentage Of Pediatric HD Patients With nPCR In Use,Fistula Rate - Better Than Expected (STATE),Fistula Rate - As Expected (STATE),Fistula Rate - Worse Than Expected (STATE),Percentage Of Adult Patients With Long Term Catheter In Use,Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 Mg/dL),Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 3.5-4.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 4.6-5.5 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 5.6-7.0 Mg/dL,Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 Mg/dL,Incident Patients Transplant Waitlisting- Better Than Expected (STATE),Incident Patients Transplant Waitlisting - As Expected (STATE),Incident Patients Transplant Waitlisting - Worse Than Expected (STATE),Prevalent Patients Transplant Waitlisting- Better Than Expected (STATE),Prevalent Patients Transplant Waitlisting - As Expected (STATE),Prevalent Patients Transplant Waitlisting - Worse Than Expected (STATE),Healthcare worker COVID-19 vaccination adherence percentage (STATE),Percentage Of Patients With Hgb<10 g/dL (STATE),Percentage of patients with Hgb>12 g/dL (STATE),SEDR - Better Than Expected (STATE),SEDR - As Expected (STATE),SEDR - Worse Than Expected (STATE),ED30 - Better Than Expected (STATE),ED30 - As Expected (STATE),ED30 - Worse Than Expected (STATE),N FOR SMSR CATEGORY 1: SMSR-Better than expected (State),N FOR SMSR CATEGORY 2: SMSR-As Expected (State),N FOR SMSR CATEGORY 3: SMSR-Worse than expected (State)
IA,0,56,4,2,57,1,1,50,1,0,35,5,10.0,46.0,1.0,98.0,93.0,63.0,100.0,100.0,1,60,0,22.0,1.0,7.0,22.0,28.0,27.0,16.0,8,16,1,0,55,4,3.0,19.0,1.0,0,50,8,0,54,0,14,40,0
ID,1,25,1,2,25,0,2,24,0,0,23,0,6.0,19.0,0.0,98.0,96.0,100.0,89.0,100.0,0,26,1,22.0,1.0,7.0,23.0,28.0,26.0,17.0,1,13,0,0,28,0,1.0,15.0,1.0,0,27,0,0,23,3,12,13,0
IL,23,297,9,0,307,17,5,295,11,0,182,7,132.0,133.0,1.0,96.0,91.0,94.0,87.0,88.0,9,262,18,24.0,1.0,7.0,22.0,27.0,26.0,18.0,11,155,3,15,299,8,3.0,24.0,0.0,0,298,10,4,300,6,28,231,15
IN,6,142,3,2,147,2,7,139,3,0,96,9,62.0,78.0,1.0,96.0,95.0,100.0,83.0,98.0,2,144,3,21.0,1.0,7.0,21.0,26.0,27.0,19.0,3,68,5,0,146,2,2.0,24.0,0.0,0,142,4,0,137,6,18,122,0
KS,1,54,2,1,56,0,1,54,0,0,39,3,16.0,37.0,0.0,97.0,95.0,,,100.0,10,47,0,14.0,1.0,7.0,20.0,24.0,27.0,21.0,0,24,0,0,55,1,2.0,20.0,1.0,0,51,4,1,53,2,9,46,0
KY,2,111,2,1,115,1,2,102,8,0,46,2,32.0,74.0,0.0,97.0,93.0,90.0,100.0,93.0,0,116,1,18.0,1.0,7.0,21.0,27.0,26.0,19.0,1,49,1,1,112,4,2.0,23.0,0.0,0,96,11,2,99,2,11,92,2
LA,0,163,4,0,159,9,3,154,8,0,64,8,58.0,97.0,0.0,97.0,95.0,96.0,65.0,94.0,4,153,6,16.0,1.0,8.0,21.0,26.0,26.0,19.0,5,69,0,2,163,0,1.0,23.0,0.0,0,134,17,0,140,7,11,135,7
MA,6,71,0,0,74,3,1,70,5,0,65,3,41.0,29.0,1.0,97.0,92.0,100.0,93.0,97.0,0,76,0,20.0,1.0,6.0,22.0,27.0,27.0,18.0,11,32,0,43,34,0,7.0,27.0,0.0,2,72,3,5,70,0,7,65,3
MD,3,147,12,3,161,1,1,153,1,0,131,9,67.0,75.0,0.0,96.0,91.0,95.0,77.0,96.0,2,155,4,19.0,1.0,7.0,21.0,27.0,27.0,18.0,2,92,3,8,149,2,4.0,25.0,1.0,1,153,8,2,155,2,6,136,7
ME,0,19,0,0,19,0,1,18,0,0,16,0,5.0,13.0,1.0,97.0,91.0,100.0,32.0,100.0,0,20,0,21.0,2.0,6.0,20.0,28.0,28.0,19.0,1,6,0,1,19,0,2.0,17.0,1.0,0,16,3,0,17,0,4,13,2
MI,8,201,4,4,203,6,8,194,6,0,125,5,76.0,105.0,3.0,96.0,94.0,60.0,81.0,86.0,6,176,17,19.0,1.0,6.0,22.0,28.0,26.0,18.0,6,114,2,3,210,2,1.0,23.0,1.0,0,193,13,7,196,1,19,161,7
MN,3,106,1,0,109,1,2,98,1,0,45,3,24.0,80.0,1.0,97.0,93.0,94.0,80.0,98.0,5,104,1,21.0,1.0,7.0,21.0,25.0,27.0,20.0,3,37,0,3,104,1,5.0,21.0,0.0,0,82,19,1,92,6,9,94,0
MO,4,140,1,0,143,4,4,133,6,0,81,8,42.0,85.0,0.0,96.0,94.0,92.0,93.0,99.0,1,131,4,20.0,1.0,7.0,21.0,26.0,26.0,20.0,6,61,1,4,140,3,2.0,21.0,0.0,0,133,7,3,138,0,24,106,1
MP,0,2,0,1,1,0,0,2,0,1,1,0,0.0,1.0,0.0,,,,,,0,1,1,,,,,,,,0,0,1,0,0,2,,,,0,2,0,0,2,0,0,1,1
MS,0,92,2,2,93,0,0,92,3,0,65,11,31.0,49.0,3.0,98.0,96.0,92.0,30.0,93.0,3,84,6,17.0,1.0,9.0,21.0,25.0,26.0,19.0,0,57,7,0,95,3,0.0,26.0,0.0,0,82,11,0,84,6,4,71,5
MT,0,17,0,0,17,0,0,16,0,0,14,0,6.0,11.0,0.0,94.0,89.0,100.0,0.0,100.0,0,17,0,25.0,2.0,6.0,21.0,24.0,26.0,22.0,0,9,0,0,16,1,4.0,13.0,1.0,0,16,1,0,15,1,8,7,0
NC,3,234,4,5,239,0,6,228,3,0,141,13,96.0,134.0,2.0,97.0,95.0,98.0,88.0,100.0,15,219,3,16.0,1.0,7.0,20.0,25.0,27.0,20.0,9,144,4,11,233,1,2.0,23.0,0.0,0,222,6,2,225,3,21,204,3
ND,0,14,0,0,13,1,0,14,0,0,13,0,4.0,8.0,0.0,93.0,89.0,100.0,100.0,100.0,1,12,1,24.0,1.0,7.0,22.0,26.0,27.0,18.0,1,7,0,0,14,0,2.0,37.0,0.0,0,14,0,0,13,1,1,11,1
NE,1,31,0,0,31,1,0,30,0,0,20,0,6.0,18.0,2.0,96.0,94.0,91.0,98.0,91.0,0,31,0,19.0,1.0,8.0,23.0,28.0,25.0,16.0,2,18,0,0,31,1,6.0,19.0,1.0,0,31,1,0,30,1,6,20,1
NH,0,18,0,0,19,0,1,17,1,0,14,1,8.0,10.0,0.0,96.0,95.0,,,,1,16,3,25.0,1.0,5.0,20.0,26.0,27.0,21.0,1,8,0,5,15,0,1.0,19.0,0.0,0,19,0,0,18,0,4,13,1
NJ,10,168,5,0,179,6,1,181,1,0,150,4,74.0,100.0,2.0,98.0,95.0,97.0,87.0,100.0,14,164,7,14.0,1.0,8.0,23.0,29.0,26.0,14.0,21,84,0,22,165,0,1.0,18.0,1.0,1,175,5,5,171,2,7,151,21
NM,1,56,1,3,57,0,3,51,0,0,40,1,23.0,29.0,0.0,97.0,86.0,68.0,87.0,83.0,0,54,2,23.0,1.0,7.0,21.0,25.0,27.0,20.0,0,30,3,1,58,0,2.0,19.0,1.0,0,50,7,2,46,5,4,46,0
NV,0,52,0,0,48,3,0,47,4,0,45,2,34.0,14.0,0.0,96.0,96.0,94.0,83.0,100.0,0,49,2,20.0,1.0,7.0,21.0,25.0,27.0,19.0,0,38,8,1,46,4,1.0,18.0,0.0,0,45,5,1,49,2,6,42,3
NY,23,296,5,0,306,19,2,306,17,0,209,24,133.0,127.0,2.0,94.0,86.0,83.0,79.0,89.0,45,272,11,19.0,2.0,9.0,23.0,27.0,26.0,15.0,22,173,2,28,291,4,9.0,25.0,1.0,6,293,8,13,294,6,9,202,91
OH,8,289,6,2,279,20,4,287,8,0,71,10,97.0,170.0,3.0,97.0,93.0,86.0,77.0,92.0,4,272,12,23.0,1.0,7.0,21.0,26.0,27.0,19.0,14,118,0,1,285,15,2.0,25.0,1.0,0,251,8,1,259,4,50,216,3
OK,0,74,5,0,78,3,1,73,7,0,64,4,29.0,41.0,1.0,97.0,95.0,98.0,96.0,96.0,7,70,0,21.0,1.0,7.0,20.0,25.0,26.0,22.0,0,58,0,0,76,5,1.0,24.0,1.0,1,66,11,1,70,10,17,58,1
OR,0,65,1,0,66,0,2,62,0,0,47,3,21.0,38.0,1.0,98.0,92.0,100.0,88.0,100.0,2,62,0,19.0,1.0,7.0,21.0,27.0,28.0,19.0,2,37,2,2,62,4,3.0,16.0,1.0,0,59,4,0,59,6,4,56,0
PA,21,262,6,0,279,9,4,274,5,0,146,8,86.0,174.0,1.0,97.0,91.0,73.0,62.0,78.0,7,272,5,21.0,1.0,7.0,22.0,28.0,26.0,17.0,16,90,0,26,263,2,2.0,21.0,1.0,1,258,7,10,265,2,23,232,10
PR,0,36,11,0,43,7,0,38,11,0,3,1,43.0,4.0,0.0,99.0,97.0,100.0,44.0,100.0,0,28,21,35.0,0.0,8.0,25.0,31.0,26.0,11.0,0,37,5,0,50,0,7.0,7.0,0.0,0,32,0,1,42,0,1,26,21
RI,1,15,0,0,15,1,0,16,0,0,8,2,4.0,12.0,0.0,98.0,90.0,,40.0,,1,15,0,14.0,1.0,6.0,21.0,28.0,25.0,20.0,1,9,0,5,11,0,4.0,23.0,0.0,0,16,0,0,16,0,0,14,2
SC,0,136,10,0,142,4,2,141,3,0,84,10,57.0,78.0,0.0,97.0,95.0,99.0,83.0,99.0,3,123,15,13.0,1.0,8.0,21.0,25.0,26.0,19.0,6,80,1,4,142,2,1.0,26.0,0.0,0,134,9,0,133,5,15,116,2
SD,4,18,0,0,22,0,0,15,0,0,12,0,2.0,15.0,1.0,95.0,94.0,100.0,,100.0,3,22,0,19.0,1.0,8.0,24.0,29.0,23.0,15.0,1,4,0,3,19,0,5.0,22.0,0.0,1,19,1,2,14,1,1,15,2
TN,2,170,12,1,176,9,4,173,3,0,82,10,65.0,98.0,2.0,97.0,93.0,56.0,59.0,50.0,1,176,5,21.0,1.0,7.0,20.0,25.0,27.0,21.0,9,93,2,1,179,5,1.0,22.0,0.0,0,167,7,5,172,0,14,147,4
TX,4,681,20,2,666,45,21,664,21,0,430,36,301.0,340.0,1.0,97.0,93.0,97.0,84.0,97.0,24,665,12,16.0,1.0,7.0,21.0,26.0,26.0,20.0,33,476,42,23,694,14,2.0,21.0,1.0,1,649,38,10,651,14,46,563,49
UT,1,49,0,0,51,0,1,45,0,0,30,1,7.0,32.0,2.0,96.0,91.0,100.0,90.0,98.0,4,44,1,17.0,2.0,8.0,22.0,25.0,25.0,20.0,1,25,0,0,49,1,1.0,21.0,1.0,0,42,6,1,37,3,3,40,0
VA,1,187,9,3,189,6,4,187,2,0,109,14,95.0,85.0,0.0,97.0,92.0,90.0,65.0,99.0,14,172,11,21.0,1.0,6.0,21.0,26.0,27.0,19.0,11,100,3,7,193,0,2.0,22.0,1.0,0,179,15,2,181,7,16,165,1
VI,0,3,0,1,2,0,0,3,0,0,3,0,0.0,0.0,1.0,93.0,,,,,0,3,1,23.0,16.0,13.0,26.0,27.0,23.0,11.0,0,1,0,0,4,0,17.0,36.0,3.0,0,3,0,0,3,0,0,2,1
VT,0,7,0,0,7,0,1,6,0,0,7,0,1.0,5.0,1.0,95.0,82.0,,,,0,7,0,31.0,3.0,4.0,19.0,27.0,31.0,18.0,0,1,0,0,8,0,35.0,22.0,1.0,0,4,3,0,4,3,1,6,0
WA,0,102,1,0,107,1,3,98,1,0,76,2,39.0,57.0,5.0,98.0,93.0,98.0,87.0,95.0,11,96,0,19.0,1.0,6.0,19.0,25.0,28.0,22.0,2,59,4,0,108,2,3.0,17.0,1.0,0,87,13,0,93,7,8,83,4
WI,2,114,2,2,114,2,3,112,1,0,61,3,36.0,74.0,1.0,97.0,91.0,100.0,80.0,99.0,3,112,0,23.0,1.0,7.0,22.0,27.0,27.0,18.0,1,53,1,1,118,1,4.0,18.0,0.0,0,101,12,1,109,5,12,96,5
WV,1,35,1,0,35,2,0,36,1,0,18,6,18.0,18.0,0.0,97.0,95.0,100.0,100.0,100.0,0,34,3,33.0,1.0,7.0,21.0,25.0,27.0,20.0,1,17,0,0,37,1,1.0,25.0,1.0,0,34,3,2,33,2,7,29,0
WY,0,9,1,0,10,0,1,7,0,0,6,0,1.0,9.0,0.0,94.0,88.0,100.0,,100.0,3,7,0,20.0,2.0,9.0,23.0,24.0,25.0,19.0,0,1,1,0,8,1,5.0,18.0,2.0,0,8,2,0,9,1,1,7,1
